Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.clcore.json	24226	-	0	0	0	0	0	0	5	64	0	0	0	0	0	0	0	1	0	0	114	156	0	0	1	8	0	4
fsh-generated/resources/CodeSystem-CSCodComunasCL.json	23374	5	0	0	0	0	0	0	2	25	0	0	0	0	0	0	0	0	0	0	113	1488	0	0	0	5	0	2
fsh-generated/resources/CodeSystem-CSCodMadurez.json	1086	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	30	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSCodProvinciasCL.json	4454	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodRegionCL.json	2028	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	15	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodSSalud.json	3256	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoDNI.json	3046	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodigoServicio.json	1917	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoVacunas.json	8087	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	46	32	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-CSCodigoslenguaje.json	7013	1	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	34	29	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadesDeisCL.json	6031	2	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	32	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSIdentidaddeGenero.json	1230	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSNombreCampana.json	4124	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	24	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSPrevision.json	1158	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSRazonNOT.json	1390	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CSRazonNOTinm.json	1219	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSSexoListadoDeis.json	1078	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSTipoIdentificador.json	2590	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	0	1	0
fsh-generated/resources/CodeSystem-CSTiposEncuentroCL.json	996	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CodPais.json	17344	3	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	78	59	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-csrazonnoencuentro.json	1785	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-AuditEventCl.json	6404	1	0	0	0	0	0	130	1	50	0	0	0	0	0	0	0	1	0	0	307	1935	0	0	0	16	2	3
fsh-generated/resources/StructureDefinition-CodigoPaises.json	2181	2	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	85	225	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ComunasCl.json	2219	1	0	0	0	0	0	12	0	6	0	0	0	0	0	0	0	0	0	0	79	179	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ContactoParticipantes.json	1879	2	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	59	121	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CoreDiagnosticoCl.json	4388	1	0	0	0	0	0	74	0	17	0	0	0	0	0	0	0	1	0	0	184	346	0	1	0	7	0	1
fsh-generated/resources/StructureDefinition-CoreLocalizacionCl.json	5930	2	0	0	0	0	0	27	0	12	0	0	0	0	0	0	0	0	0	0	234	416	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-CoreMedicamentoCl.json	5428	2	0	0	0	0	0	22	0	140	0	0	0	0	0	0	0	1	0	0	235	373	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-CoreOrganizacionCl.json	6308	1	0	0	0	0	0	28	0	13	0	0	0	0	0	0	0	0	0	0	209	296	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-CorePacienteCl.json	20127	3	0	0	0	0	0	22	0	35	0	0	1	0	0	0	0	1	0	0	607	785	0	0	0	31	0	2
fsh-generated/resources/StructureDefinition-CorePrestadorCl.json	22767	2	0	0	0	0	0	110	0	52	0	0	0	0	0	0	0	1	0	0	933	1207	0	0	0	27	1	2
fsh-generated/resources/StructureDefinition-CoreRolClinicoCl.json	5605	2	0	0	0	0	0	24	0	10	0	0	0	0	0	0	0	1	0	0	233	388	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-DocumentoCl.json	7105	1	0	0	0	0	0	82	0	12	0	0	0	0	0	0	0	0	0	0	235	496	0	0	0	20	1	7
fsh-generated/resources/StructureDefinition-EncounterCL.json	12383	2	1	0	0	0	0	19	0	58	0	0	0	0	0	0	0	1	0	0	473	646	0	0	0	18	1	6
fsh-generated/resources/StructureDefinition-IdContacto.json	5153	1	0	0	0	0	0	12	0	19	0	0	0	0	0	0	0	0	0	0	208	240	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-IdentidadDeGenero.json	2062	1	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	44	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ImmunizationCL.json	9271	2	0	0	0	0	0	38	0	18	0	0	0	0	0	0	0	1	0	0	317	399	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-NombreCampana.json	2217	1	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	47	73	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-NotasEncuentro.json	1582	1	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	38	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ObservacionesDiagnostico.json	1610	1	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	39	63	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ProvenanceCl.json	7876	2	0	0	0	0	0	23	0	18	0	0	0	0	0	0	0	1	0	0	300	448	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ProvinciasCl.json	2252	1	0	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	0	0	79	106	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-RazonNOrealizarse.json	1969	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	39	59	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-RazonNOrealizarseInm.json	1796	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	41	62	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-RegionesCl.json	2231	2	0	0	0	0	0	3	0	5	0	0	1	0	0	0	0	0	0	0	82	121	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-SegundoApellido.json	1224	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	39	61	0	0	0	1	1	1
fsh-generated/resources/StructureDefinition-ServicioSalud.json	2077	1	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	45	120	0	0	0	2	0	0
