Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.clcore.json	33249	-	0	0	0	0	0	0	4	80	0	0	0	0	0	0	0	1	0	0	149	121	0	0	0	5	0	4
fsh-generated/resources/CodeSystem-CSCodRegionCL.json	2028	4	1	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	1861	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ImmunizationCL.json	10508	13	0	0	0	0	0	290	1	194	0	0	2	0	0	0	0	1	0	0	363	1845	0	1	0	8	0	5
fsh-generated/resources/StructureDefinition-DocumentoCl.json	14778	17	0	0	0	0	0	285	0	222	0	0	0	0	0	0	0	1	0	0	713	2137	0	0	0	19	1	9
fsh-generated/resources/StructureDefinition-TiposVacunaRNI.json	2143	4	0	0	0	0	0	25	0	20	0	0	0	0	0	0	0	0	0	0	49	146	0	0	0	1	0	1
fsh-generated/resources/ValueSet-VSCodigoslenguaje.json	843	2	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	5	4191	0	0	1	0	0	0
fsh-generated/resources/ValueSet-VSCodigosComunaCL.json	969	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	62	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-3.json	3872	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-222.json	285	1	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-RazonNOrealizarse.json	1852	3	0	0	0	0	0	16	0	14	0	0	0	0	0	0	0	0	0	0	44	149	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-CoreLocalizacionCl.json	11516	12	0	0	0	0	0	159	0	150	0	0	0	0	0	0	0	1	0	0	392	1193	0	0	0	11	0	3
fsh-generated/resources/StructureDefinition-ComunasCl.json	2333	4	0	0	0	0	0	35	0	28	0	0	0	0	0	0	0	0	0	0	90	250	0	0	0	2	0	2
fsh-generated/resources/ValueSet-VSNombreCampana.json	895	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	34	0	0	0	0	0	0
fsh-generated/resources/Location-3333458.json	52	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoVacunas.json	8087	14	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	46	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodSSalud.json	3256	5	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	21	30	0	0	0	0	0	0
fsh-generated/resources/Immunization-999.json	313	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-5.json	5557	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSCodComunasCL.json	23374	39	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	128	82	0	0	0	4	0	3
fsh-generated/resources/CodeSystem-CSEspecialidadesDeisCL.json	6031	8	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	36	38	0	0	0	1	0	1
fsh-generated/resources/Medication-MedicamentoCl-2.json	769	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/Immunization-ImmunizationCL.json	1762	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSTiposDocClinic.json	1254	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	48	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-SegundoApellido.json	1334	2	0	0	0	0	0	18	0	13	0	0	0	0	0	0	0	0	0	0	41	121	0	0	0	0	0	1
fsh-generated/resources/ValueSet-VSCodMadurez.json	1159	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	32	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-RG12224.json	97	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoDNI.json	3046	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodProvinciasCL.json	4454	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	26	30	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-CSCodMadurez.json	1086	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	32	0	0	1	1	0	0
fsh-generated/resources/StructureDefinition-ServicioSalud.json	2112	3	1	0	0	0	0	20	0	14	0	0	0	0	0	0	0	0	0	0	49	125	0	0	0	1	0	1
fsh-generated/resources/PractitionerRole-EspecialidadCL.json	969	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CorePrestadorCl.json	19793	22	0	0	0	0	0	339	0	284	0	0	0	0	0	0	0	1	0	0	774	2207	0	0	0	17	1	11
fsh-generated/resources/Bundle-BundleEx.json	616	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
fsh-generated/resources/Condition-1112.json	100	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CodigoPaises.json	2291	4	0	0	0	0	0	38	0	33	0	0	0	0	0	0	0	0	0	0	89	233	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-cl-address.json	6237	8	0	0	0	0	0	57	0	54	0	0	1	0	0	0	0	0	0	0	139	329	0	0	0	2	0	1
fsh-generated/resources/Composition-CompositionCl-CarlosSalas.json	3032	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	12	12	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-ProvenanceCl.json	8623	9	0	0	0	0	0	172	0	134	0	0	0	0	0	0	0	1	0	0	401	1137	0	0	0	7	0	3
fsh-generated/resources/StructureDefinition-VSEspecialidadesDeisCL.json	2097	4	0	0	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0	0	47	144	0	0	0	1	0	1
fsh-generated/resources/Observation-123.json	172	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSTiposEncuentroCL.json	866	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TiposServicio.json	1724	2	0	0	0	0	0	16	0	19	0	0	0	0	0	0	0	0	0	0	40	113	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-4.json	5557	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-csrazonnoencuentro.json	1785	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	24	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BundleCl.json	3825	4	0	0	0	0	0	79	0	63	0	0	0	0	0	0	0	0	0	0	170	494	0	0	0	3	1	2
fsh-generated/resources/ValueSet-VSCodigosServiciosSalud.json	899	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	38	0	0	0	0	0	0
fsh-generated/resources/Provenance-EjemplValidacionProvCl.json	1181	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ObservacionesDiagnostico.json	1650	3	1	0	0	0	0	11	0	13	0	0	0	0	0	0	0	0	0	0	40	98	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoServicio.json	1917	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ContactoParticipantes.json	1917	3	0	0	0	0	0	20	0	30	0	0	0	0	0	0	0	0	0	0	66	178	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-NombreCampana.json	2261	4	0	0	0	0	0	14	0	17	0	0	0	0	0	0	0	1	0	0	48	102	0	0	0	0	0	1
