Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.clcore.json	33173	-	0	0	0	0	0	0	4	82	0	0	0	0	0	0	0	1	0	0	151	126	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-CSCodRegionCL.json	2028	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	1847	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ImmunizationCL.json	10508	13	0	0	0	0	0	313	0	178	0	0	1	0	0	0	0	2	0	0	370	1782	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-DocumentoCl.json	14778	24	0	0	0	0	0	290	0	279	0	0	0	0	0	0	0	1	0	0	700	2086	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-TiposVacunaRNI.json	2143	4	0	0	0	0	0	21	0	19	0	0	0	0	0	0	0	0	0	0	55	123	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSCodigoslenguaje.json	843	2	0	0	0	0	0	0	1	63	0	0	0	0	0	0	0	0	0	0	5	4082	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSCodigosComunaCL.json	969	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	42	0	0	0	1	0	0
fsh-generated/resources/Patient-PacienteCl-3.json	3872	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-222.json	285	2	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-RazonNOrealizarse.json	1852	3	0	0	0	0	0	16	0	19	0	0	0	0	0	0	0	0	0	0	42	135	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CoreLocalizacionCl.json	11516	12	0	0	0	0	0	139	0	159	0	0	0	0	0	0	0	0	0	0	387	1174	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-ComunasCl.json	2333	4	0	0	0	0	0	32	0	28	0	0	0	0	0	0	0	0	0	0	87	238	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VSNombreCampana.json	895	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	32	0	0	0	0	0	0
fsh-generated/resources/Location-3333458.json	52	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoVacunas.json	8087	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	42	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodSSalud.json	3256	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	23	0	0	0	1	0	0
fsh-generated/resources/Immunization-999.json	313	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-5.json	5557	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodComunasCL.json	23374	40	0	0	0	0	0	0	2	56	0	0	0	0	0	0	0	0	0	0	127	55	0	0	0	3	1	0
fsh-generated/resources/CodeSystem-CSEspecialidadesDeisCL.json	6031	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	35	28	0	0	0	1	0	0
fsh-generated/resources/Medication-MedicamentoCl-2.json	769	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
